"NameOfStation";"Line";"Year";"Quarter";"IncomingPassengers";"OutgoingPassengers";"global_id";
"Станция метрополитена";"Линия";"Год";"Квартал";"Входы пассажиров";"Выходы пассажиров";"global_id";
"Курская";"Арбатско-Покровская линия";"2024";"I квартал";"1701695";"1766017";"2664619820";
"Савёловская";"Большая кольцевая линия";"2024";"I квартал";"1767681";"1797751";"2664619829";
"Шелепиха";"Большая кольцевая линия";"2024";"I квартал";"1133038";"1145419";"2664619836";
"Деловой центр";"Большая кольцевая линия";"2024";"I квартал";"1752921";"1764300";"2664619842";
"Электрозаводская";"Большая кольцевая линия";"2024";"I квартал";"1860461";"2126822";"2664619880";
"Мичуринский проспект";"Большая кольцевая линия";"2024";"I квартал";"1049220";"1065288";"2664619886";
"Каширская";"Большая кольцевая линия";"2024";"I квартал";"2521649";"2553683";"2664619890";
"Печатники";"Большая кольцевая линия";"2024";"I квартал";"219842";"223135";"2664619893";
"Текстильщики";"Большая кольцевая линия";"2024";"I квартал";"1378060";"1661430";"2664619898";
"Авиамоторная";"Калининская линия";"2024";"I квартал";"2837596";"2971562";"2664619903";
"Третьяковская";"Калининская линия";"2024";"I квартал";"2559801";"2679467";"2664619908";
"Третьяковская";"Калужско-Рижская линия";"2024";"I квартал";"0";"0";"2664619913";
"Петровско-Разумовская";"Серпуховско-Тимирязевская линия";"2024";"I квартал";"0";"0";"2664619916";
"Китай-город";"Таганско-Краснопресненская линия";"2024";"I квартал";"0";"0";"2664619919";
"Киевская";"Филёвская линия";"2024";"I квартал";"0";"0";"2664619921";
"Рижская";"Калужско-Рижская линия";"2024";"I квартал";"1053287";"1072022";"2664619995";
"Проспект Мира";"Калужско-Рижская линия";"2024";"I квартал";"1836692";"1902245";"2664620024";
"Киевская";"Кольцевая линия";"2024";"I квартал";"2906839";"2891939";"2664620059";
"Белорусская";"Кольцевая линия";"2024";"I квартал";"3936113";"3718178";"2664620070";
"Комсомольская";"Кольцевая линия";"2024";"I квартал";"7832303";"6363988";"2664620074";
"Таганская";"Кольцевая линия";"2024";"I квартал";"2210212";"2293693";"2664620085";
"Павелецкая";"Кольцевая линия";"2024";"I квартал";"4508307";"4642772";"2664620104";
"Октябрьская";"Кольцевая линия";"2024";"I квартал";"2055734";"2155008";"2664648710";
"Парк культуры";"Кольцевая линия";"2024";"I квартал";"2978282";"3110785";"2664648715";
"Марьина роща";"Люблинско-Дмитровская линия";"2024";"I квартал";"2189866";"2251311";"2664648721";
"Тимирязевская";"Московская монорельсовая транспортная система";"2024";"I квартал";"67252";"55516";"2664648728";
"Окружная";"Московское центральное кольцо";"2024";"I квартал";"1165106";"1196482";"2664648733";
"Владыкино";"Московское центральное кольцо";"2024";"I квартал";"574981";"740242";"2664648737";
"Ботанический сад";"Московское центральное кольцо";"2024";"I квартал";"992733";"1199921";"2664648741";
"Бульвар Рокоссовского";"Московское центральное кольцо";"2024";"I квартал";"741365";"769897";"2664648747";
"Шоссе Энтузиастов";"Московское центральное кольцо";"2024";"I квартал";"615685";"687253";"2664648753";
"Нижегородская";"Московское центральное кольцо";"2024";"I квартал";"1295721";"1407959";"2664648758";
"Дубровка";"Московское центральное кольцо";"2024";"I квартал";"631093";"667798";"2664648761";
"Автозаводская";"Московское центральное кольцо";"2024";"I квартал";"421776";"463712";"2664648952";
"Кутузовская";"Московское центральное кольцо";"2024";"I квартал";"1882671";"2014467";"2664648956";
"Москва-Сити";"Московское центральное кольцо";"2024";"I квартал";"1229508";"1330368";"2664648958";
"Сокольники";"Сокольническая линия";"2024";"I квартал";"1306971";"1314968";"2664648992";
"Проспект Вернадского";"Сокольническая линия";"2024";"I квартал";"2007477";"2031838";"2664648998";
"Кунцевская";"Филёвская линия";"2024";"I квартал";"524946";"509451";"2664649019";
