"global_id";"stop_id";"stop_name";"StationName";"Street";"Direction";"Pavilion";"OperatingOrgName";"geoData";"geodata_center";
"global_id";"Код остановки";"Наименование остановки";"Название остановки согласно указателю";"Наименование улицы, на которой находится остановка";"Направление";"Наличие павильона";"Балансодержатель остановки с павильоном";"geoData";"geodata_center";
"2583704832";"1608";"Берёзовая аллея, 17";"";"";"";"";"";"{coordinates=[37.61968001, 55.84904958], type=Point}";"{coordinates=[37.61968001, 55.84904958], type=Point}";
"2583704833";"1482";"1-й Новоподмосковный переулок";"";"";"";"";"";"{coordinates=[37.50558532, 55.81510542], type=Point}";"{coordinates=[37.50558532, 55.81510542], type=Point}";
"2583704834";"1461";"Неманский проезд";"";"";"";"";"";"{coordinates=[37.39249409, 55.81316295], type=Point}";"{coordinates=[37.39249409, 55.81316295], type=Point}";
"2583704835";"1483";"2-й Новоподмосковный переулок";"";"";"";"";"";"{coordinates=[37.50953301, 55.81534288], type=Point}";"{coordinates=[37.50953301, 55.81534288], type=Point}";
"2583704836";"1462";"Метро «Петровско-Разумовская»";"";"";"";"";"";"{coordinates=[37.57578236, 55.83830283], type=Point}";"{coordinates=[37.57578236, 55.83830283], type=Point}";
"2583704837";"1484";"Улица Космонавта Волкова";"";"";"";"";"";"{coordinates=[37.514679, 55.815554], type=Point}";"{coordinates=[37.514679, 55.815554], type=Point}";
"2583704838";"1000502";"Улица Приорова";"";"";"";"";"";"{coordinates=[37.52561435, 55.82082135], type=Point}";"{coordinates=[37.52561435, 55.82082135], type=Point}";
"2583704839";"1463";"МЦД Окружная";"";"";"";"";"";"{coordinates=[37.57566301, 55.84768478], type=Point}";"{coordinates=[37.57566301, 55.84768478], type=Point}";
"2583704840";"1464";"Метро «Ховрино»";"";"";"";"";"";"{coordinates=[37.48093398, 55.87978588], type=Point}";"{coordinates=[37.48093398, 55.87978588], type=Point}";
"2583704841";"1487";"Большая Академическая улица, 15";"";"";"";"";"";"{coordinates=[37.52850676, 55.82376841], type=Point}";"{coordinates=[37.52850676, 55.82376841], type=Point}";
"2583704842";"1465";"Школа Олимпийского резерва";"";"";"";"";"";"{coordinates=[37.47111248, 55.87723862], type=Point}";"{coordinates=[37.47111248, 55.87723862], type=Point}";
"2583704843";"1491";"Метро «Петровско-Разумовская»";"";"";"";"";"";"{coordinates=[37.57536187, 55.83700621], type=Point}";"{coordinates=[37.57536187, 55.83700621], type=Point}";
"2583704844";"1460";"Метро «Щукинская»";"";"";"";"";"";"{coordinates=[37.46212093, 55.80968026], type=Point}";"{coordinates=[37.46212093, 55.80968026], type=Point}";
"2583704845";"1472";"Большая Академическая улица, 15";"";"";"";"";"";"{coordinates=[37.52756056, 55.8233604], type=Point}";"{coordinates=[37.52756056, 55.8233604], type=Point}";
"2583704846";"1493";"Метро «Речной вокзал»";"";"";"";"";"";"{coordinates=[37.47606315, 55.85508288], type=Point}";"{coordinates=[37.47606315, 55.85508288], type=Point}";
"2583704847";"1473";"Улица Приорова";"";"";"";"";"";"{coordinates=[37.52372387, 55.81948918], type=Point}";"{coordinates=[37.52372387, 55.81948918], type=Point}";
"2583704848";"1494";"Районный центр «Нева»";"";"";"";"";"";"{coordinates=[37.46808492, 55.86201798], type=Point}";"{coordinates=[37.46808492, 55.86201798], type=Point}";
"2583704850";"1474";"МЦД Красный Балтиец";"";"";"";"";"";"{coordinates=[37.52067156, 55.81711481], type=Point}";"{coordinates=[37.52067156, 55.81711481], type=Point}";
"2583704851";"1495";"Валдайский проезд";"";"";"";"";"";"{coordinates=[37.47217399, 55.86387651], type=Point}";"{coordinates=[37.47217399, 55.86387651], type=Point}";
"2583704853";"1475";"Улица Космонавта Волкова";"";"";"";"";"";"{coordinates=[37.51573247, 55.81581301], type=Point}";"{coordinates=[37.51573247, 55.81581301], type=Point}";
"2583704854";"1496";"Институт усовершенствования врачей";"";"";"";"";"";"{coordinates=[37.4769987, 55.86616762], type=Point}";"{coordinates=[37.4769987, 55.86616762], type=Point}";
"2583704855";"1476";"2-й Новоподмосковный переулок";"";"";"";"";"";"{coordinates=[37.50986505, 55.81558593], type=Point}";"{coordinates=[37.50986505, 55.81558593], type=Point}";
"2583704856";"1485";"МЦД Красный Балтиец";"";"";"";"";"";"{coordinates=[37.52141472, 55.81640659], type=Point}";"{coordinates=[37.52141472, 55.81640659], type=Point}";
"2583704857";"1498";"Петрозаводская улица";"";"";"";"";"";"{coordinates=[37.49259798, 55.86749759], type=Point}";"{coordinates=[37.49259798, 55.86749759], type=Point}";
"2583704858";"1499";"Новолесная улица";"";"";"";"";"";"{coordinates=[37.58750136, 55.78541304], type=Point}";"{coordinates=[37.58750136, 55.78541304], type=Point}";
"2583704859";"9997";"Улица Милашенкова";"";"";"";"";"";"{coordinates=[37.57844439, 55.82939087], type=Point}";"{coordinates=[37.57844439, 55.82939087], type=Point}";
